Gene,UF_1,UF_2,UF_3,DF_1,DF_2,DF_3
TMEM269,0.036731,0.055807,0.0546805,0.097441,0.177295,0.0388788
TMEM270,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMEM271,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMEM272,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMEM273,17.63,8.42658,9.93329,1.57851,1.45775,1.47732
TMEM275,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMF1,65.9289,86.9258,85.2804,75.944,67.8639,66.8487
TMIE,0.3122,1.32072,1.22116,0.6431,0.0787989,0.330455
TMIGD1,1.84E-06,1.86E-06,1.82E-06,0.0194898,1.97E-06,1.94E-06
TMIGD2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMIGD3,0.440752,0.372036,0.455657,0.233856,0.256092,0.291578
TMLHE,4.84825,5.69212,5.68658,5.69044,5.35819,5.6177
TMOD1,5.32573,2.1764,2.49699,0.701563,0.55158,0.641469
TMOD2,21.4131,14.9186,14.7268,21.0663,21.0388,21.6738
TMOD3,223.864,205.4,210.914,188.662,180.445,181.166
TMOD4,0.679492,0.63246,0.72905,0.876953,0.945565,0.777538
TMPO,78.0495,80.4338,90.1651,75.145,63.6088,70.4448
TMPPE,6.04195,5.85954,5.65013,4.57964,4.88541,5.38444
TMPRSS2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,0.0394004,1.94E-06
TMPRSS3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMPRSS4,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMPRSS5,0.734585,0.595257,0.674372,0.721051,0.472784,0.641469
TMPRSS6,1.84E-06,1.86E-06,1.82E-06,0.0194898,1.97E-06,0.0194404
TMPRSS7,1.84E-06,1.86E-06,0.018228,1.95E-06,0.0197012,1.94E-06
TMPRSS9,0.036731,0.0930104,0.018228,0.0584654,0.0394004,0.0583172
TMPRSS11A,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMPRSS11B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMPRSS11D,1.84E-06,0.055807,0.018228,0.0194898,1.97E-06,0.0194404
TMPRSS11E,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMPRSS11F,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMPRSS12,0.0183664,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TMPRSS13,1.84E-06,1.86E-06,1.82E-06,1.95E-06,0.0197012,1.94E-06
TMPRSS15,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,0.0194404
TMSB4X,673.081,604.686,633.78,830.142,902.442,888.316
TMSB4Y,0.128554,0.148816,0.291621,0.272831,0.275791,0.311016
TMSB10,849.619,830.138,863.959,826.088,896.611,917.862
TMSB15A,0.330564,0.390638,0.437431,0.506685,0.787971,0.699785
TMSB15B,0.293835,0.279027,0.182264,0.233856,0.433385,0.466524
TMTC1,205.885,134.36,126.563,28.1989,31.6961,27.9524
TMTC2,9.01701,9.44967,9.75102,11.4588,10.7164,10.244
TMTC3,60.1624,68.3613,69.6059,62.7508,56.3004,56.9545
TMTC4,22.2579,18.0995,19.8301,26.1332,28.5442,27.758
TMUB1,23.7271,22.7499,25.1157,27.7312,27.5198,29.7213
TMUB2,53.845,54.9122,53.2752,55.891,51.7105,53.4362
TMX1,45.7095,48.29,52.7831,46.2446,40.3243,40.5291
TMX2,36.5272,45.0533,40.8267,41.509,38.6302,38.041
TMX3,101.501,113.415,120.275,122.442,102.141,103.354
TMX4,75.4417,77.997,77.2791,59.7107,50.8437,52.8142
TNC,1.84E-06,0.0186036,1.82E-06,0.0194898,0.0197012,1.94E-06
TNF,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNFAIP1,325.769,339.258,342.434,196.515,204.045,195.55
TNFAIP2,43.065,47.6762,45.766,23.0151,20.2311,23.8509
TNFAIP3,7.32747,17.746,16.0755,11.2055,7.03263,6.06479
TNFAIP6,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,0.0194404
TNFAIP8,5.01353,6.78963,6.54321,5.1253,4.53083,4.27645
TNFAIP8L1,70.3364,64.4177,67.2729,101.376,109.291,110.779
TNFAIP8L2,1.84E-06,1.86E-06,0.0364542,1.95E-06,1.97E-06,1.94E-06
TNFAIP8L3,113.236,104.188,116.885,109.346,98.0628,102.732
TNFRSF1A,250.64,233.061,230.908,172.72,165.73,168.959
TNFRSF1B,67.1226,54.689,50.7235,46.5759,55.3154,61.853
TNFRSF4,0.0918248,0.111612,0.109359,0.81849,1.00466,0.641469
TNFRSF6B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNFRSF8,0.0918248,0.0744087,0.0729067,0.116929,0.256092,0.252701
TNFRSF9,0.146919,3.18089,2.38764,1.55903,0.177295,0.194386
TNFRSF10A,29.0344,28.7954,30.1644,23.5413,21.4722,22.0237
TNFRSF10B,306.101,349.842,336.474,368.846,322.969,312.978
TNFRSF10C,7.91514,6.36179,5.79594,18.2991,16.4686,16.7753
TNFRSF10D,69.2896,68.0264,61.6775,95.2369,91.5029,83.9739
TNFRSF11A,24.6453,19.0482,21.9079,14.2846,12.3908,14.5205
TNFRSF11B,0.293835,0.204621,0.20049,0.116929,0.216694,0.194386
TNFRSF12A,20.3663,31.3067,30.292,67.3499,72.8084,68.6759
TNFRSF13B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNFRSF13C,0.238741,0.167417,0.20049,0.19488,0.275791,0.485962
TNFRSF14,92.7963,93.6224,97.4373,77.3276,75.0738,78.1035
TNFRSF17,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNFRSF18,1.84E-06,1.86E-06,1.82E-06,0.0194898,0.0197012,1.94E-06
TNFRSF19,0.716221,0.483646,0.510336,0.584636,0.453084,0.252701
TNFRSF21,54.6347,52.7544,53.7126,113.906,130.389,119.896
TNFRSF25,93.8063,74.7231,79.3569,55.5987,63.9831,59.4427
TNFSF4,62.7702,65.7756,78.154,174.494,150.01,168.628
TNFSF8,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNFSF9,1.26716,0.948689,0.820181,1.01337,0.610678,0.602593
TNFSF10,24.6086,17.6716,16.6405,22.1966,29.017,27.2721
TNFSF11,1.84E-06,1.86E-06,1.82E-06,1.95E-06,0.0197012,1.94E-06
TNFSF12,27.4734,20.8339,20.8872,20.6181,21.6495,22.879
TNFSF12-TNFSF13,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNFSF13,1.02842,1.17191,1.1118,1.34466,1.26075,1.5162
TNFSF13B,0.367294,0.223222,0.3463,0.292319,0.29549,0.174948
TNFSF14,1.84E-06,1.86E-06,1.82E-06,0.0389776,1.97E-06,1.94E-06
TNFSF15,0.0550956,0.111612,0.0546805,0.350783,0.453084,0.291578
TNFSF18,30.5036,45.4812,46.2217,65.0308,58.1521,67.7817
TNIK,37.6658,32.4414,32.6249,38.3715,40.3243,38.7213
TNIP1,155.97,175.079,178.635,136.629,121.722,128.08
TNIP2,56.4344,55.8795,56.884,58.9896,57.7975,56.2159
TNIP3,0.220377,1.24632,1.05712,0.915929,0.275791,0.311016
TNK1,0.0918248,0.0372053,0.0546805,0.0584654,0.0984981,0.097194
TNK2,83.3201,73.2163,74.1989,86.5649,96.2505,96.9005
TNKS,77.572,80.7128,74.8915,82.2581,72.3159,67.8984
TNKS1BP1,297.782,284.588,275.963,211.326,200.006,192.576
TNKS2,105.229,117.6,117.103,117.122,102.062,99.1748
TNMD,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNN,0.0183664,0.0186036,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNNC1,0.036731,0.0186036,0.0364542,0.0389776,0.0394004,1.94E-06
TNNC2,0.036731,0.0372053,0.0546805,0.0779532,0.0787989,0.0388788
TNNI1,1.84E-06,1.86E-06,0.0364542,1.95E-06,1.97E-06,1.94E-06
TNNI2,0.0183664,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNNI3,1.84E-06,0.0186036,1.82E-06,1.95E-06,1.97E-06,0.0194404
TNNI3K,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNNT1,0.0918248,0.055807,0.164038,1.95E-06,1.97E-06,0.0583172
TNNT2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNNT3,1.84E-06,1.86E-06,1.82E-06,0.0194898,1.97E-06,1.94E-06
TNP1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNP2,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TNPO1,448.28,619.809,608.282,776.979,591.075,588.576
TNPO2,101.648,92.3017,91.7325,96.2698,96.0141,93.8681
TNPO3,71.9341,80.4152,78.8648,77.3276,76.1769,78.123
TNR,0.0183664,1.86E-06,0.018228,0.0584654,0.0394004,1.94E-06
TNRC6A,95.3489,97.0823,93.5734,112.893,109.193,109.574
TNRC6B,55.1672,55.8237,53.8585,45.5625,44.2642,45.6997
TNRC6C,41.5407,38.1707,35.2313,45.9523,47.2191,48.4405
TNRC18,203.884,181.348,173.678,192.208,193.624,189.252
TNS1,405.343,282.746,284.347,161.34,181.725,200.371
TNS2,354.602,300.957,321.328,180.106,190.078,202.101
TNS3,54.0286,53.3683,57.9229,65.8298,59.7281,66.0711
TNS4,0.55094,0.316231,0.273395,1.95E-06,0.0394004,1.94E-06
TNXB,101.207,90.1253,95.961,1.94878,2.38361,2.44924
TOB1,22.3497,20.8711,20.6867,16.3113,16.311,15.3952
TOB2,156.797,136.369,142,117.96,112.266,113.967
TOE1,8.59463,9.54268,10.717,8.98388,8.49037,8.74729
TOGARAM1,28.5018,32.7576,33.2993,28.7835,24.4861,25.9114
TOGARAM2,0.826408,0.613858,0.400978,0.487197,0.630377,0.291578
TOLLIP,89.0866,90.7763,82.6012,97.2052,97.6097,97.3087
TOM1,42.0916,47.9738,45.2921,56.8654,57.2066,56.0992
TOM1L1,1.98338,2.36242,3.08023,1.75391,1.37895,1.82721
TOM1L2,99.4993,90.7391,85.1893,72.2608,71.9022,72.5636
TOMM5,1.46917,1.65555,1.60391,2.06571,2.06842,2.04103
TOMM6,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TOMM7,60.8786,54.875,55.353,53.6499,52.5576,53.6694
TOMM20,118.819,117.395,120.858,129.029,120.126,117.563
TOMM20L,0.0734602,1.86E-06,0.0546805,0.0194898,0.0197012,0.0777556
TOMM22,47.5092,45.3138,49.7576,49.9083,48.8541,48.6738
TOMM34,32.8359,34.2085,34.5569,35.8381,31.3809,33.6673
TOMM40,46.0217,50.485,48.0807,52.2273,50.43,52.853
TOMM40L,22.1661,20.8153,20.7597,22.1576,20.9403,22.8207
TOMM70,63.872,70.3331,67.6921,67.915,62.4663,65.0409
TOMT,0.0183664,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TONSL,22.3497,22.4709,24.0221,20.7935,20.4872,22.8401
TOP1,93.7145,101.137,103.871,115.972,111.261,108.719
TOP1MT,12.4696,11.1238,11.8288,18.0457,16.5868,18.7386
TOP2A,127.212,141.094,152.48,116.323,93.335,106.037
TOP2B,148.606,148.497,154.176,180.028,179.263,176.851
TOP3A,46.6828,50.9687,47.3517,48.3103,47.7509,44.5723
TOP3B,30.4669,32.4786,30.2737,33.1488,35.2419,34.1144
TOPAZ1,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TOPBP1,49.1804,50.3548,52.5826,53.2017,49.7012,53.3779
TOPORS,30.2832,31.3439,31.5496,32.8565,30.1398,30.8682
TOR1A,51.7514,50.2246,51.2703,55.5598,56.6156,58.1792
TOR1AIP1,74.0828,78.7782,79.12,67.8761,65.0272,63.3692
TOR1AIP2,96.3223,102.086,101.629,118.564,111.025,107.689
TOR1B,37.0597,36.2919,33.9919,42.4639,43.6338,41.5982
TOR2A,13.4062,12.0911,13.7608,13.661,14.8532,14.9093
TOR3A,30.6138,27.3445,27.394,17.0129,17.4338,17.3391
TOR4A,119.168,125.543,120.184,120.045,126.292,120.246
TOX,1.94665,2.1392,2.69748,2.22161,2.5215,2.79913
TOX2,3.37909,3.79475,3.28072,10.1142,7.52511,6.16198
TOX3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TOX4,72.9809,76.5646,74.6728,78.1461,70.8581,72.3886
TP53,87.0114,102.719,99.7885,113.224,115.792,114.667
TP53AIP1,1.84E-06,1.86E-06,1.82E-06,0.0194898,1.97E-06,0.0194404
TP53BP1,89.7294,94.4967,92.4069,106.793,103.421,101.216
TP53BP2,38.8962,50.5222,47.3152,54.332,48.9329,49.0237
TP53I3,54.6163,45.0347,48.2266,56.3003,66.347,64.4966
TP53I11,96.2121,69.4774,61.8598,148.828,143.962,144.68
TP53I13,21.3397,22.5639,21.2518,31.3169,30.9081,31.8207
TP53INP1,76.2498,75.7276,73.725,132.556,125.583,113.929
TP53INP2,102.236,97.9566,96.526,120.922,117.073,112.121
TP53RK,17.0974,17.3182,17.406,18.2406,16.8625,17.8445
TP53TG3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TP53TG3B,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TP53TG3C,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TP53TG3D,1.84E-06,1.86E-06,0.018228,1.95E-06,0.0197012,0.0388788
TP53TG3E,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TP53TG3F,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TP53TG5,0.0550956,1.86E-06,1.82E-06,1.95E-06,0.0197012,1.94E-06
TP63,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TP73,0.036731,0.186019,0.145811,0.19488,0.118197,0.174948
TPBG,10.5045,16.5741,15.7839,31.2779,27.3622,26.203
TPBGL,0.128554,0.111612,0.20049,0.136417,0.196994,0.0777556
TPCN1,94.5409,66.0547,71.5926,35.994,33.3311,36.2721
TPCN2,13.498,11.8307,11.9564,11.5368,10.1057,8.84448
TPD52,0.863138,0.63246,0.546788,1.48108,0.965264,0.641469
TPD52L1,0.0918248,0.0372053,0.0546805,0.233856,0.0787989,0.174948
TPD52L2,165.906,175.768,170.67,168.823,163.326,155.021
TPD52L3,1.84E-06,1.86E-06,1.82E-06,1.95E-06,1.97E-06,1.94E-06
TPGS1,17.7218,13.542,15.9844,15.7072,14.932,15.6868
TPGS2,114.595,110.494,112.802,145.399,155.131,153.388
